"","mu0","age","sex"
"vitd",0.387392726043429,-0.00812048817880411,-0.0101539768805781
"srh",-0.550684323163555,0.0190307623485102,-0.0631707379921431
"eye",-1.20627585565301,0.0239947248880527,0.12879577459204
"hear",-0.725037969470065,0.0197944709072294,-0.236045238779436
"FI.ADL",-1.8096474238523,0.0352025712990998,0.265495352298503
"FI.IADL",-2.34387682021413,0.0438395822919662,0.0992592292090813
"gait.speed",2.04651457492696,-0.0388241451351306,-0.212330172342942
"grip.ndom",1.45245290336699,-0.0238525490593792,-0.938397935932106
"grip.dom",1.41370834610202,-0.0232926661508005,-0.94873843321515
"crp",-0.367992791923489,0.00740409455987817,0.0579554608744713
"hba1c",1.99299347387476,-0.0167310186454969,-0.0953148420354178
"glucose",0.985437568709211,-0.00801485282091363,-0.162676473693819
"hgb",0.330839520035155,-0.00892301532323868,-0.627645043304552
"mch",0.251743364816806,-0.00364818806575357,-0.198666180923682
"fer",1.55954743963337,-0.0166636594838901,-0.334710169902814
"chol",-0.900451918519754,-0.00150650489314722,0.435084822607932
"ldl",-1.06458825357689,5.45566497207214e-05,0.300561263534347
"hdl",0.467371800964743,-0.00940394805866514,0.603123204829898
"trig",-0.513560839939245,0.00480537787969693,-0.0268661321971043
"sys",-0.615981459538542,0.00779280016858362,0.0460194606675925
"dias",0.669145306492173,-0.0175685978594043,0.0288127561837552
"pulse",-0.329060108072975,0.00450803291302097,0.232492366712164
"fib",0.0695503489865748,0.00420761488727558,0.0522977002178572
"igf1",1.2549443525583,-0.0185940576872912,-0.23553636508088
"wbc",-0.357838511226793,0.00959255832616001,-0.104312305193036
