"","(Intercept)","albumin","pre_creatinine","hemoglobin","chloride","phosphate","pre_urea","wbc","calcium","total_co2","potassium","glucose_r","platelets","magnesium","sodium"
"r2_067",0.154121612486804,0.00446687381723123,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_083",0.119231185562573,0.00339078909812639,6.39547509540785e-05,0,0,0,0,0,0,0,0,0,0,0,0
"r2_094",0.0901927431237116,0.00206117993671209,3.83199238163912e-05,0.000682265630506396,0,0,0,0,0,0,0,0,0,0,0
"r2_096",0.177276914319203,0.00175254019815075,3.26150140036638e-05,0.000580892995061088,0.00161679039286106,0,0,0,0,0,0,0,0,0,0
"r2_096",0.172838642640319,0.00168138921016348,3.27988018278111e-05,0.000558851489092757,0.00155880430628062,0.0134619098697934,0,0,0,0,0,0,0,0,0
"r2_097",0.146087240847583,0.00143651114668786,2.90340167253962e-05,0.000472102962438279,0.00131519443526582,0.0119479294602168,0.00103814458546066,0,0,0,0,0,0,0,0
"r2_098",0.11798362350837,0.00115357329120152,2.25549717232349e-05,0.000366133994448467,0.00102802044921269,0.00926979396007355,0.000809083744132567,0.00162884513409366,0,0,0,0,0,0,0
"r2_099",0.0880281449355362,0.000835149017476964,1.57901941698019e-05,0.000255252226809018,0.000718118311671051,0.0065648504981446,0.000564620580300277,0.00114020008360969,0.0178362473535212,0,0,0,0,0,0
"r2_100",0.0796379931684792,0.000633068319930837,1.1955041870467e-05,0.000193579662203367,0.000577309990062333,0.00506441256699195,0.000440686869935532,0.000866318558312263,0.0136698601343162,0.000947100906548857,0,0,0,0,0
"r2_100",0.0591505775959091,0.000462294001526403,9.02603995314895e-06,0.000141353937889487,0.000421761974986195,0.00370420598176677,0.000325199055155582,0.000633321249692414,0.00998228070431298,0.000692917246702778,0.00256111966036189,0,0,0,0
"r2_100",0.0457403823475448,0.000338251163311573,6.56712609981655e-06,0.000102115994066752,0.000315977083961162,0.00266657368006364,0.000236134611528701,0.000456813558265004,0.00723894231597463,0.000507595823363764,0.00184956161053411,0.000253140239466882,0,0,0
"r2_100",0.0310299102187287,0.00022820778696149,4.44971585278771e-06,6.90126347537664e-05,0.000213473471259377,0.0017964909037691,0.000159677711247368,0.000325960020061938,0.00491751657691149,0.000342653948612918,0.00124599714453441,0.000170466131075219,1.26454337322639e-05,0,0
"r2_100",0.0101791538272119,7.49584332157852e-05,1.46455371737985e-06,2.26844456264038e-05,7.00630377540978e-05,0.000591159893008755,5.27461886758426e-05,0.000107116414869991,0.00163669222990418,0.000112910820615005,0.000411201431231962,5.59875445513224e-05,4.16126525759173e-06,0.00157947388527582,0
"r2_100",5.98923230995667e-15,3.83297369013236e-17,7.75904778799418e-19,1.14250227754772e-17,5.32784614047889e-17,3.01945386681216e-16,2.67237227714956e-17,5.42450696820271e-17,8.24323234993461e-16,6.35193489706052e-17,2.11000505400145e-16,2.83820821914237e-17,2.09675431644663e-18,7.96613730952378e-16,5.86260626694298e-17
