"","(Intercept)","wbc","sodium","platelets","albumin","glucose_r","pre_urea","pre_creatinine","phosphate","calcium","total_co2","chloride","hemoglobin","potassium","magnesium"
"r2_027",0.0243831251598808,0.00290438967327108,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_059",0.231249320423995,0.00221078848537306,0.00165670687529352,0,0,0,0,0,0,0,0,0,0,0,0
"r2_075",0.182657330401066,0.0020102260330189,0.0013047842508594,6.85719499511641e-05,0,0,0,0,0,0,0,0,0,0,0
"r2_076",0.185137244921547,0.00207921555557026,0.00131222079771789,7.05163528839964e-05,0.00117783195037538,0,0,0,0,0,0,0,0,0,0
"r2_084",0.164332225181978,0.00173097376648945,0.00114494002077636,5.88649545771789e-05,0.000987792236210392,0.000875600234705106,0,0,0,0,0,0,0,0,0
"r2_086",0.152780279935846,0.00162350257871965,0.00106720247966617,5.48610397193895e-05,0.00092700880173496,0.000814543811367984,0.000549402714591021,0,0,0,0,0,0,0,0
"r2_090",0.133645757338375,0.00141270894353222,0.00093606101122398,4.79724881685978e-05,0.000819971071659683,0.000718250159015318,0.000537341791330297,1.53767912350175e-05,0,0,0,0,0,0,0
"r2_093",0.111859425509944,0.0011832912927171,0.000782509515231744,4.02206825366808e-05,0.000686620288679466,0.000600373613057162,0.000462103448766924,1.31141792162648e-05,0.00564890759203012,0,0,0,0,0,0
"r2_096",0.0846216276184066,0.000854972374761604,0.000566045001905065,2.90621441597617e-05,0.000503153650514793,0.000435985060104277,0.00033386018609378,9.49687204823268e-06,0.00408897997918574,0.0109658172235042,0,0,0,0,0
"r2_097",0.0710640372788576,0.000713442128072236,0.000477568733147205,2.4233040826848e-05,0.000421059931252278,0.000364390205850057,0.000286817711994388,7.9215744766377e-06,0.00344708481803609,0.00920067084391843,0.000636288194614195,0,0,0,0
"r2_098",0.0585039683677689,0.000588350878422005,0.00056023915531323,1.98367321548118e-05,0.000355252799263256,0.000299310126963286,0.000235697410479914,6.74072540534643e-06,0.00287302239404902,0.00752927533258631,0.000617798835243823,0.000489733927247848,0,0,0
"r2_099",0.0350546840552671,0.000348577854747525,0.000330680182691431,1.17263063416056e-05,0.000213419069712161,0.000176805873569286,0.000139581791272836,3.97966726905156e-06,0.00169564826547013,0.00445109315902856,0.000365902953570743,0.000289103434891005,6.27682140288426e-05,0,0
"r2_100",0.0241269018266945,0.000234000677383795,0.000224461910907276,7.86838570399418e-06,0.00014372648407232,0.000118485745135423,9.49444744387204e-05,2.73913639401937e-06,0.00114128485331654,0.00298288106648882,0.000245412327450307,0.000194405044400931,4.20716071804196e-05,0.000830424809797311,0
"r2_100",3.33736157265983e-15,3.24100347013589e-17,3.11040407378698e-17,1.09025215772969e-18,1.9880493343072e-17,1.63998702267871e-17,1.31998554322888e-17,3.82139651997946e-19,1.58739669559047e-16,4.19858395126447e-16,3.41602177133534e-17,2.69262432792704e-17,5.8200437097621e-18,1.15317761933309e-16,4.14184162519704e-16
