"","(Intercept)","chloride","hemoglobin","pre_urea","platelets","pre_creatinine","wbc","potassium","sodium","albumin","phosphate","glucose_r","magnesium","calcium","total_co2"
"r2_056",0.175820287390209,0.00177525117675485,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_075",0.151644131972823,0.00144137533657305,0.000494589587366705,0,0,0,0,0,0,0,0,0,0,0,0
"r2_085",0.117959633498221,0.00109903151371766,0.000377967165395835,0.000708051412400617,0,0,0,0,0,0,0,0,0,0,0
"r2_087",0.117808210394373,0.00107347065702082,0.000364726044369642,0.000682971013782361,5.83659487608642e-05,0,0,0,0,0,0,0,0,0,0
"r2_088",0.112349130026626,0.00101486832973089,0.000343242128795455,0.000727184627613737,5.52573074091116e-05,2.01856085288727e-05,0,0,0,0,0,0,0,0,0
"r2_093",0.0877036724802952,0.000789407626641979,0.000266452598818571,0.000568997551431752,4.96484496096257e-05,1.5689118939416e-05,0.00147834035832382,0,0,0,0,0,0,0,0
"r2_096",0.0652685585836176,0.000567835952948435,0.000191463455176067,0.000417057989971591,3.64853696607982e-05,1.15648618061353e-05,0.00106890220385128,0.00383011945788864,0,0,0,0,0,0,0
"r2_098",0.0790728519216029,0.00058167601816483,0.000149927365555867,0.000326765075244197,2.85740724865695e-05,9.63484043485735e-06,0.000836984447456312,0.00303059865423539,0.000709796350623846,0,0,0,0,0,0
"r2_098",0.0680083773937713,0.000509554800496663,0.00013085572963959,0.0002795666018042,2.44947049067563e-05,8.2582532084433e-06,0.00072994956050364,0.00259405442809747,0.00061690390902246,0.000437333392000461,0,0,0,0,0
"r2_099",0.0516433114953894,0.000388733089859074,9.94795597313069e-05,0.000217422608158765,1.86573878110003e-05,6.34096015964733e-06,0.000554681845037832,0.00198042401970489,0.000469682388957402,0.00033317000518696,0.00264447174353697,0,0,0,0
"r2_100",0.0324178306814896,0.000231661615940605,5.9198649628125e-05,0.000129479971390031,1.11332179984852e-05,3.81819940559398e-06,0.000329093604441594,0.00117114746913431,0.000280784239696104,0.000198733876877619,0.00156667366458921,0.00016650945844568,0,0,0
"r2_100",0.0171937610941737,0.0001224195014281,3.13168984645314e-05,6.86497733028907e-05,5.90106470014936e-06,2.03497184763417e-06,0.00017432125256727,0.000622128365094139,0.000148423045539366,0.000105207356635905,0.000831219603432943,8.81103125922495e-05,0.00218496347656773,0,0
"r2_100",0.00307033813471819,2.11000364675391e-05,5.39668387266324e-06,1.18206697231729e-05,1.01575446998513e-06,3.5084828123979e-07,3.00096843925348e-05,0.000107175843945576,2.5591847105383e-05,1.82847171296867e-05,0.000143522432718927,1.52455083009958e-05,0.00038340560837406,0.000388684720697539,0
"r2_100",1.79916160458521e-15,1.45158569154298e-17,3.13756809133097e-18,7.11600243569717e-18,5.87751665139513e-19,2.06010339154324e-19,1.74721524079533e-17,6.21674592578691e-17,1.67680949830166e-17,1.0717514277172e-17,8.55760793001409e-17,8.84112080451015e-18,2.23285438574409e-16,2.26344400337849e-16,1.84156708154203e-17
