"","(Intercept)","albumin","pre_creatinine","hemoglobin","chloride","pre_urea","phosphate","wbc","calcium","total_co2","potassium","glucose_r","platelets","magnesium","sodium"
"r2_064",-15.2469785045758,0.449972491239882,0,0,0,0,0,0,0,0,0,0,0,0,0
"r2_082",-13.6109900964334,0.503856290463035,-0.0045326175801389,0,0,0,0,0,0,0,0,0,0,0,0
"r2_094",-7.84238971411132,0.547168009145942,-0.00461998457107857,-0.0674165307489312,0,0,0,0,0,0,0,0,0,0,0
"r2_096",-1.05828498689663,0.541585528537436,-0.00469285467974811,-0.0666605233925536,-0.0668201638293598,0,0,0,0,0,0,0,0,0,0
"r2_096",-1.59257888508471,0.53876786900353,-0.00510268767686477,-0.0660190120747958,-0.0657431911220047,0.034011232871332,0,0,0,0,0,0,0,0,0
"r2_097",-0.558165207725109,0.535239816128049,-0.00493151150576212,-0.065615014589489,-0.0707566019040624,0.0445403042071413,-0.475270590250921,0,0,0,0,0,0,0,0
"r2_098",1.21832419433817,0.522677370030385,-0.00501106951057336,-0.0645142324922024,-0.0792807095675435,0.04806034738491,-0.44256778609338,-0.0856861560510387,0,0,0,0,0,0,0
"r2_099",3.50849209866754,0.534194387319191,-0.00494654651648771,-0.0642257998994273,-0.0788673991015299,0.0471307793602938,-0.482883422855353,-0.0802382870784293,-1.22048775547705,0,0,0,0,0,0
"r2_099",6.20959043647998,0.533048521060205,-0.00493494642849935,-0.0651090922243264,-0.0902714312602063,0.0407344436836979,-0.543090556704213,-0.086329632743446,-1.1181465565992,-0.0584622215702778,0,0,0,0,0
"r2_100",6.87139339414469,0.53405223794922,-0.00483615193138917,-0.0650321774162161,-0.091477247084229,0.0433785133254905,-0.526258571762258,-0.0851543312185275,-1.10751519458177,-0.0607859005463246,-0.152298733901676,0,0,0,0
"r2_100",7.97282988152504,0.531423878421726,-0.004908922611611,-0.0652451587334495,-0.0974408948434478,0.0439089635532098,-0.535919780978246,-0.0845081666057103,-1.15487528043215,-0.0653041071729112,-0.146614913622953,-0.0181887784320495,0,0,0
"r2_100",7.66466369076085,0.531485036533329,-0.00488747501364059,-0.0648790724397924,-0.0957399497624147,0.0448984023722154,-0.543085000924498,-0.0971459722765071,-1.18500104546759,-0.0644208439966377,-0.144569572026565,-0.0177857457552832,0.000997088359049989,0,0
"r2_100",7.61816435232305,0.531615770624563,-0.00486133630947919,-0.0647245157909081,-0.0954668117263927,0.0457877683529182,-0.534282996371612,-0.0978518181174087,-1.13198752935874,-0.0623761770923894,-0.136431281759982,-0.017548588220632,0.00105733464900435,-0.29696874862511,0
"r2_100",7.08082648041103,0.530398685588335,-0.00489721440663797,-0.0646936596898749,-0.101550950147462,0.0452822168724082,-0.542666360112046,-0.0987794070784412,-1.12753442283537,-0.0671023669182409,-0.13090020210425,-0.0169914883624256,0.00105617305915053,-0.288919322319494,0.00945235891139905
